timestamp,group,lag,retry_rate,recovery_rate,dlq_rate,throughput
1780380345.994373,grupo-consumidores,-1,0,0,0,0
1780380345.994373,grupo-reintentos,-1,0,0,0,0
1780380355.9960392,grupo-consumidores,-1,0,0,0,0
1780380355.9960392,grupo-reintentos,-1,0,0,0,0
1780380365.9976478,grupo-consumidores,-1,0,0,0,0
1780380365.9976478,grupo-reintentos,-1,0,0,0,0
1780380375.998491,grupo-consumidores,-1,0,0,0,0
1780380375.998491,grupo-reintentos,-1,0,0,0,0
1780380386.0002785,grupo-consumidores,-1,0,0,0,0
1780380386.0002785,grupo-reintentos,-1,0,0,0,0
1780380396.00201,grupo-consumidores,-1,0,0,0,0
1780380396.00201,grupo-reintentos,-1,0,0,0,0
1780380406.0039103,grupo-consumidores,-1,0,0,0,0
1780380406.0039103,grupo-reintentos,-1,0,0,0,0
1780380416.0047932,grupo-consumidores,-1,0,0,0,0
1780380416.0047932,grupo-reintentos,-1,0,0,0,0
1780380426.0065029,grupo-consumidores,-1,0,0,0,0
1780380426.0065029,grupo-reintentos,-1,0,0,0,0
1780380436.0073242,grupo-consumidores,-1,0,0,0,0
1780380436.0073242,grupo-reintentos,-1,0,0,0,0
1780380446.0090935,grupo-consumidores,-1,0,0,0,0
1780380446.0090935,grupo-reintentos,-1,0,0,0,0
1780380456.0108576,grupo-consumidores,-1,0,0,0,0
1780380456.0108576,grupo-reintentos,-1,0,0,0,0
1780380466.011611,grupo-consumidores,-1,0,0,0,0
1780380466.011611,grupo-reintentos,-1,0,0,0,0
1780380476.0134814,grupo-consumidores,-1,0,0,0,0
1780380476.0134814,grupo-reintentos,-1,0,0,0,0
1780380486.0153737,grupo-consumidores,-1,0,0,0,0
1780380486.0153737,grupo-reintentos,-1,0,0,0,0
1780380496.0164812,grupo-consumidores,-1,0,0,0,0
1780380496.0164812,grupo-reintentos,-1,0,0,0,0
1780380506.018244,grupo-consumidores,-1,0,0,0,0
1780380506.018244,grupo-reintentos,-1,0,0,0,0
1780380516.0199087,grupo-consumidores,-1,0,0,0,0
1780380516.0199087,grupo-reintentos,-1,0,0,0,0
1780380526.0212488,grupo-consumidores,-1,0,0,0,0
1780380526.0212488,grupo-reintentos,-1,0,0,0,0
1780380536.0222003,grupo-consumidores,-1,0,0,0,0
1780380536.0222003,grupo-reintentos,-1,0,0,0,0
1780380546.0238137,grupo-consumidores,-1,0,0,0,0
1780380546.0238137,grupo-reintentos,-1,0,0,0,0
1780380556.0253603,grupo-consumidores,-1,0,0,0,0
1780380556.0253603,grupo-reintentos,-1,0,0,0,0
1780380566.0261745,grupo-consumidores,-1,0,0,0,0
1780380566.0261745,grupo-reintentos,-1,0,0,0,0
1780380576.0279975,grupo-consumidores,-1,0,0,0,0
1780380576.0279975,grupo-reintentos,-1,0,0,0,0
1780380586.029703,grupo-consumidores,-1,0,0,0,0
1780380586.029703,grupo-reintentos,-1,0,0,0,0
1780380596.0316007,grupo-consumidores,-1,0,0,0,0
1780380596.0316007,grupo-reintentos,-1,0,0,0,0
1780380606.0325644,grupo-consumidores,-1,0,0,0,0
1780380606.0325644,grupo-reintentos,-1,0,0,0,0
1780380616.0346217,grupo-consumidores,-1,0,0,0,0
1780380616.0346217,grupo-reintentos,-1,0,0,0,0
1780380626.0353441,grupo-consumidores,-1,0,0,0,0
1780380626.0353441,grupo-reintentos,-1,0,0,0,0
1780380636.036885,grupo-consumidores,-1,0,0,0,0
1780380636.036885,grupo-reintentos,-1,0,0,0,0
1780380646.0375211,grupo-consumidores,-1,0,0,0,0
1780380646.0375211,grupo-reintentos,-1,0,0,0,0
1780380656.0382645,grupo-consumidores,-1,0,0,0,0
1780380656.0382645,grupo-reintentos,-1,0,0,0,0
1780380666.0399656,grupo-consumidores,-1,0,0,0,0
1780380666.0399656,grupo-reintentos,-1,0,0,0,0
1780380676.0410852,grupo-consumidores,-1,0,0,0,0
1780380676.0410852,grupo-reintentos,-1,0,0,0,0
1780380686.0430443,grupo-consumidores,-1,0,0,0,0
1780380686.0430443,grupo-reintentos,-1,0,0,0,0
1780380696.0444572,grupo-consumidores,-1,0,0,0,0
1780380696.0444572,grupo-reintentos,-1,0,0,0,0
1780380706.0453112,grupo-consumidores,-1,0,0,0,0
1780380706.0453112,grupo-reintentos,-1,0,0,0,0
1780380716.0468655,grupo-consumidores,-1,0,0,0,0
1780380716.0468655,grupo-reintentos,-1,0,0,0,0
1780380726.0486174,grupo-consumidores,-1,0,0,0,0
1780380726.0486174,grupo-reintentos,-1,0,0,0,0
1780380736.0492454,grupo-consumidores,-1,0,0,0,0
1780380736.0492454,grupo-reintentos,-1,0,0,0,0
1780380746.0502484,grupo-consumidores,-1,0,0,0,0
1780380746.0502484,grupo-reintentos,-1,0,0,0,0
1780380756.0517902,grupo-consumidores,-1,0,0,0,0
1780380756.0517902,grupo-reintentos,-1,0,0,0,0
1780380766.052694,grupo-consumidores,-1,0,0,0,0
